id,short_name,full_name,eng_name
5,Waterbury,,Waterbury
6,NB,,North Branford
7,Hamden,,Hamden
8,Fairfield,,Fairfield
9,NL,,New London
10,NH,,New Haven
11,Norwalk,,Norwalk
12,Bridgeport,,Bridgeport
13,Madison,,Madison
15,Hartford,,Hartford
16,Middletown,,Middletown
17,Durham,,Durham
18,Danbury,,Danbury
19,Southbury,,Southbury
20,New Hartford,,New Hartford
21,Washington,,Washington
22,Stamford,,Stamford
23,New Britain,,New Britain
24,Hebron,,Hebron
25,Willington,,Willington
26,Cornwall,,Cornwall
27,NM,,New Milford
